county,candidate,votes,numbers
Hamblen,Donald Trump,4690,2
Walla Walla,Donald Trump,4689,2
Jim Wells,Hillary Clinton,4688,1
Tallapoosa,Donald Trump,4658,2
Maury,Donald Trump,4655,2
Mendocino,Bernie Sanders,4654,3
Barrow,Donald Trump,4653,2
Chautauqua,Donald Trump,4648,2
Marinette,Donald Trump,4633,2
Williamsburg,Hillary Clinton,4609,1
Covington,Donald Trump,4608,2
Grays Harbor,Donald Trump,4598,2
Seneca,John Kasich,4596,4
Pearl River,Donald Trump,4562,2
Vance,Hillary Clinton,4561,1
Clinton,Bernie Sanders,4524,3
Charlottesville,Bernie Sanders,4474,3
Wagoner,Ted Cruz,4459,5
Shiawassee,Bernie Sanders,4452,3
Apache,Hillary Clinton,4450,1
Catoosa,Donald Trump,4449,2
Hawkins,Donald Trump,4426,2
Oconee,Donald Trump,4424,2
Noble,Donald Trump,4422,2
Tioga,Donald Trump,4421,2
Maui,Bernie Sanders,4419,3
Navajo,Hillary Clinton,4415,1
Oconto,Donald Trump,4409,2
Bannock,Ted Cruz,4404,5
White,Ted Cruz,4395,5
Yuma,Donald Trump,4390,2
Russell,Hillary Clinton,4381,1
Green,Bernie Sanders,4359,3
Upshur,Ted Cruz,4358,5
Maverick,Hillary Clinton,4342,1
Gordon,Donald Trump,4339,2
Taos,Bernie Sanders,4325,3
Mifflin,Donald Trump,4310,2
Ogle,Ted Cruz,4307,5
Coffee,Donald Trump,4304,2
Dunn,Bernie Sanders,4272,3
Shawano,Donald Trump,4269,2
Forrest,Donald Trump,4267,2
Carter,Donald Trump,4266,2
Spalding,Donald Trump,4257,2
Gibson,Donald Trump,4237,2
Howell,Donald Trump,4230,2
Clarion,Donald Trump,4224,2
Barron,Donald Trump,4217,2
Surry,Donald Trump,4213,2
Bastrop,Ted Cruz,4202,5
Loudon,Donald Trump,4198,2
Pittsylvania,Donald Trump,4198,2
Preston,Donald Trump,4187,2
Dale,Donald Trump,4151,2
Scott,Bernie Sanders,4144,3
Cooke,Ted Cruz,4143,5
Troup,Donald Trump,4140,2
Webster,Ted Cruz,4124,5
Ontario,Donald Trump,4122,2
Craighead,Ted Cruz,4108,5
Huntington,Donald Trump,4100,2
Petersburg,Hillary Clinton,4099,1
Silver Bow,Hillary Clinton,4089,1
Robertson,Donald Trump,4077,2
Whitley,Ted Cruz,4064,5
Logan,Donald Trump,4064,2
St. Francois,Donald Trump,4061,2
Pender,Donald Trump,4033,2
Lonoke,Ted Cruz,4028,5
Burnet,Ted Cruz,4026,5
Isabella,Bernie Sanders,4024,3
Barnstable,Bernie Sanders,4020,3
Huron,John Kasich,4019,4
Hill,Ted Cruz,4003,5
Chemung,Donald Trump,3982,2
Defiance,John Kasich,3956,4
Herkimer,Donald Trump,3955,2
Williams,John Kasich,3943,4
Tehama,Donald Trump,3940,2
Wabash,Donald Trump,3932,2
Stone,Donald Trump,3928,2
Colbert,Hillary Clinton,3879,1
Ohio,Donald Trump,3875,2
Haywood,Bernie Sanders,3873,3
Davie,Donald Trump,3847,2
McKean,Donald Trump,3845,2
Highland,Donald Trump,3831,2
Payne,Bernie Sanders,3829,3
Wells,Ted Cruz,3826,5
Creek,Ted Cruz,3812,5
Comanche,Bernie Sanders,3804,3
Baxter,Donald Trump,3798,2
Sampson,Hillary Clinton,3790,1
Stokes,Donald Trump,3776,2
Chambers,Ted Cruz,3758,5
Tuscola,Donald Trump,3750,2
Buffalo,Donald Trump,3748,2
Levy,Donald Trump,3745,2
Snyder,Donald Trump,3745,2
Kershaw,Hillary Clinton,3743,1
Ripley,Donald Trump,3694,2
Van Buren,Bernie Sanders,3656,3
Effingham,Donald Trump,3648,2
Black Hawk,Bernie Sanders,3647,3
Roane,Donald Trump,3634,2
Columbus,Hillary Clinton,3628,1
Grundy,Donald Trump,3625,2
Tipton,Donald Trump,3618,2
Chaves,Donald Trump,3612,2
Amador,Donald Trump,3605,2
McMinn,Donald Trump,3604,2
Marengo,Hillary Clinton,3590,1
Greenwood,Hillary Clinton,3588,1
Siskiyou,Donald Trump,3573,2
Clarendon,Hillary Clinton,3564,1
Garrett,Donald Trump,3564,2
Newaygo,Ted Cruz,3557,5
Macoupin,Bernie Sanders,3552,3
Wyoming,Donald Trump,3547,2
McCracken,Bernie Sanders,3541,3
Hoke,Hillary Clinton,3528,1
Muskogee,Bernie Sanders,3515,3
Cattaraugus,Donald Trump,3503,2
Mineral,Donald Trump,3481,2
Barry,Donald Trump,3478,2
Vernon,Bernie Sanders,3476,3
Bingham,Ted Cruz,3471,5
Bladen,Hillary Clinton,3442,1
Morrow,John Kasich,3440,4
Yadkin,Donald Trump,3436,2
Phelps,Donald Trump,3425,2
Gillespie,Ted Cruz,3421,5
San Miguel,Hillary Clinton,3418,1
Door,Bernie Sanders,3417,3
Eddy,Donald Trump,3409,2
Pottawatomie,Bernie Sanders,3400,3
Campbell,Donald Trump,3399,2
Waller,Ted Cruz,3391,5
Crittenden,Hillary Clinton,3379,1
Copiah,Hillary Clinton,3373,1
Navarro,Ted Cruz,3372,5
Jennings,Donald Trump,3361,2
Winston,Donald Trump,3352,2
Pettis,Donald Trump,3343,2
Wilcox,Hillary Clinton,3337,1
Kittitas,Donald Trump,3337,2
Clatsop,Bernie Sanders,3334,3
Coryell,Ted Cruz,3327,5
Laurens,Donald Trump,3321,2
Decatur,Donald Trump,3319,2
Gilmer,Donald Trump,3314,2
Box Elder,Ted Cruz,3314,5
Holmes,Hillary Clinton,3301,1
Habersham,Donald Trump,3289,2
Erath,Ted Cruz,3286,5
Sanilac,Donald Trump,3279,2
Callaway,Ted Cruz,3261,5
Otero,Donald Trump,3256,2
Vilas,Donald Trump,3241,2
Wharton,Ted Cruz,3229,5
Hopkins,Ted Cruz,3213,5
Bullitt,Bernie Sanders,3210,3
Yuba,Donald Trump,3210,2
Austin,Ted Cruz,3201,5
Cocke,Donald Trump,3200,2
Iowa,Bernie Sanders,3198,3
Posey,Donald Trump,3159,2
Coles,Donald Trump,3156,2
Bonner,Ted Cruz,3132,5
Valencia,Hillary Clinton,3123,1
Lynchburg,Marco Rubio,3122,6
Lea,Donald Trump,3112,2
Bulloch,Donald Trump,3111,2
Geneva,Donald Trump,3106,2
Talbot,Donald Trump,3104,2
Whiteside,Bernie Sanders,3102,3
Murray,Donald Trump,3084,2
Pope,Donald Trump,3073,2
Gila,Donald Trump,3065,2
Panola,Hillary Clinton,3061,1
Hillsdale,Donald Trump,3060,2
Montcalm,Donald Trump,3051,2
Crook,Donald Trump,3051,2
San Patricio,Ted Cruz,3047,5
Stephenson,Ted Cruz,3038,5
Duplin,Hillary Clinton,3036,1
Bolivar,Hillary Clinton,3029,1
Guernsey,Donald Trump,3029,2
Pittsburg,Bernie Sanders,3026,3
Stoddard,Donald Trump,3024,2
Cayuga,Donald Trump,3024,2
Grady,Ted Cruz,3020,5
Greenbrier,Donald Trump,3005,2
Fannin,Donald Trump,3001,2
Salem,Donald Trump,2994,2
Colquitt,Donald Trump,2967,2
Person,Hillary Clinton,2954,1
Curry,Donald Trump,2936,2
Colleton,Hillary Clinton,2932,1
Hertford,Hillary Clinton,2926,1
